Cruise	Station	Type	Year	Month	Day	Hour	Minute	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	QV:ODV:Bot Depth [m]	Depth [m]	QV:ODV:Depth [m]	Pressure [dbar]	QV:ODV:Pressure [dbar]	Temperature [degC]	QV:ODV:Temperature [degC]	Practical Salinity [dmnless]	QV:ODV:Practical Salinity [dmnless]	Dissolved Oxygen [ml/l]	QV:ODV:Dissolved Oxygen [ml/l]
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	5.4	0	5.5	0	6.55	0	6.30	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	6	0	6	0	6.55	0	6.30	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	6.4	0	6.5	0	6.55	0	6.30	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	7	0	7	0	6.55	0	6.30	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	7.4	0	7.5	0	6.56	0	6.30	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	8	0	8	0	6.56	0	6.30	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	8.4	0	8.5	0	6.56	0	6.30	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	9	0	9	0	6.56	0	6.30	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	9.4	0	9.5	0	6.55	0	6.30	0		1
34AR	0044	*	2009	1	22	15	37	21.1133	60.3333	48	0	1	0	1	0	1.0222	0	6.36	0	8.75	0
34AR	0044	*	2009	1	22	15	37	21.1133	60.3333	48	0	5	0	5	0	1.045	0	6.3622	0	8.74	0
34AR	0044	*	2009	1	22	15	37	21.1133	60.3333	48	0	10	0	10	0	1.1095	0	6.3663	0	8.73	0
34AR	0044	*	2009	1	22	15	37	21.1133	60.3333	48	0	15	0	15	0	1.2057	0	6.3844	0	8.71	0
34AR	0044	*	2009	1	22	15	37	21.1133	60.3333	48	0	20	0	20	0	1.2195	0	6.3872	0	8.71	0
34AR	0044	*	2009	1	22	15	37	21.1133	60.3333	48	0	30	0	30	0	1.2823	0	6.4014	0	8.71	0
34AR	0044	*	2009	1	22	15	37	21.1133	60.3333	48	0	40	0	40	0	1.4364	0	6.43	0	8.69	0
34AR	0045	*	2009	1	22	17	18	21.1467	60.2333	51	0	1	0	1	0	1.442	0	6.4493	0	8.65	0
34AR	0045	*	2009	1	22	17	18	21.1467	60.2333	51	0	5	0	5	0	1.4547	0	6.4507	0	8.65	0
34AR	0045	*	2009	1	22	17	18	21.1467	60.2333	51	0	10	0	10	0	1.5949	0	6.4737	0	8.64	0
34AR	0045	*	2009	1	22	17	18	21.1467	60.2333	51	0	15	0	15	0	1.6921	0	6.4879	0	8.62	0
34AR	0045	*	2009	1	22	17	18	21.1467	60.2333	51	0	20	0	20	0	1.742	0	6.4931	0	8.60	0
34AR	0045	*	2009	1	22	17	18	21.1467	60.2333	51	0	30	0	30	0	1.7802	0	6.5031	0	8.59	0
34AR	0045	*	2009	1	22	17	18	21.1467	60.2333	51	0	40	0	40	0	1.8033	0	6.5095	0	8.59	0
34AR	0124	*	2009	4	27	13	44	21.8527	60.2318	20	0	1	0	1	0	4.4487	0	6.076	0	10.84	0
34AR	0124	*	2009	4	27	13	44	21.8527	60.2318	20	0	5	0	5	0	4.3575	0	6.0727	0	10.71	0
34AR	0124	*	2009	4	27	13	44	21.8527	60.2318	20	0	10	0	10	0	3.4098	0	6.12	0	10.05	0
34AR	0126	*	2009	4	28	6	8	22.2647	60.0813	47	0	1	0	1	0	2.8614	0	5.9455	0	9.79	0
34AR	0126	*	2009	4	28	6	8	22.2647	60.0813	47	0	5	0	5	0	2.8698	0	5.9479	0	9.80	0
34AR	0126	*	2009	4	28	6	8	22.2647	60.0813	47	0	10	0	10	0	2.8348	0	5.9569	0	9.79	0
34AR	0126	*	2009	4	28	6	8	22.2647	60.0813	47	0	15	0	15	0	2.7365	0	5.9642	0	9.70	0
34AR	0126	*	2009	4	28	6	8	22.2647	60.0813	47	0	20	0	20	0	2.6228	0	5.967	0	9.59	0
34AR	0126	*	2009	4	28	6	8	22.2647	60.0813	47	0	30	0	30	0	2.6088	0	5.9742	0	9.54	0
34AR	0179	*	2010	6	10	14	29	21.7047	60.2183	35	0	1	0	1	0	12.0905	0	5.7509	0	7.69	0
34AR	0179	*	2010	6	10	14	29	21.7047	60.2183	35	0	5	0	5	0	11.5232	0	5.7537	0	7.44	0
34AR	0179	*	2010	6	10	14	29	21.7047	60.2183	35	0	10	0	10	0	9.4188	0	5.7944	0	7.35	0
34AR	0179	*	2010	6	10	14	29	21.7047	60.2183	35	0	15	0	15	0	6.8507	0	6.0239	0	7.18	0
34AR	0179	*	2010	6	10	14	29	21.7047	60.2183	35	0	20	0	20	0	4.6038	0	6.2313	0	7.46	0
34AR	0274	*	2010	8	24	10	4	21.1467	60.2333	51	0	1	0	1	0	18.348	0	6.1245	0	5.75	0
34AR	0274	*	2010	8	24	10	4	21.1467	60.2333	51	0	5	0	5	0	18.346	0	6.1249	0	5.74	0
34AR	0274	*	2010	8	24	10	4	21.1467	60.2333	51	0	10	0	10	0	18.345	0	6.1253	0	5.73	0
34AR	0274	*	2010	8	24	10	4	21.1467	60.2333	51	0	15	0	15	0	17.843	0	6.1188	0	4.44	0
34AR	0274	*	2010	8	24	10	4	21.1467	60.2333	51	0	20	0	20	0	10.8311	0	6.1515	0	4.79	0
34AR	0274	*	2010	8	24	10	4	21.1467	60.2333	51	0	30	0	30	0	8.0457	0	6.2801	0	4.91	0
34AR	0274	*	2010	8	24	10	4	21.1467	60.2333	51	0	40	0	40	0	7.5818	0	6.3303	0	4.94	0
34AR	0302	*	2010	9	15	7	22	21.7038	60.2175	27	0	1	0	1	0	14.7881	0	6.1887	0	4.38	0
34AR	0302	*	2010	9	15	7	22	21.7038	60.2175	27	0	5	0	5	0	14.7466	0	6.1891	0	4.35	0
34AR	0302	*	2010	9	15	7	22	21.7038	60.2175	27	0	10	0	10	0	14.7264	0	6.1907	0	4.33	0
34AR	0302	*	2010	9	15	7	22	21.7038	60.2175	27	0	15	0	15	0	14.3774	0	6.1854	0	4.14	0
34AR	0302	*	2010	9	15	7	22	21.7038	60.2175	27	0	20	0	20	0	12.6698	0	6.1576	0	3.34	0
34AR	0303	*	2010	9	15	11	19	21.5015	59.8993	55	0	1	0	1	0	15.0727	0	6.2203	0		1
34AR	0303	*	2010	9	15	11	19	21.5015	59.8993	55	0	5	0	5	0	15.072	0	6.2202	0		1
34AR	0303	*	2010	9	15	11	19	21.5015	59.8993	55	0	10	0	10	0	15.0737	0	6.2202	0		1
34AR	0303	*	2010	9	15	11	19	21.5015	59.8993	55	0	15	0	15	0	15.0686	0	6.2209	0		1
34AR	0303	*	2010	9	15	11	19	21.5015	59.8993	55	0	20	0	20	0	15.0149	0	6.223	0		1
34AR	0303	*	2010	9	15	11	19	21.5015	59.8993	55	0	30	0	30	0	12.1863	0	6.2542	0		1
34AR	0303	*	2010	9	15	11	19	21.5015	59.8993	55	0	40	0	40	0	8.2097	0	6.3771	0		1
34AR	0304	*	2010	9	15	16	16	21.5015	59.8993	54	0	1	0	1	0	14.9849	0	6.2216	0		1
34AR	0304	*	2010	9	15	16	16	21.5015	59.8993	54	0	5	0	5	0	14.9903	0	6.2228	0		1
34AR	0304	*	2010	9	15	16	16	21.5015	59.8993	54	0	10	0	10	0	15.0004	0	6.2301	0		1
34AR	0304	*	2010	9	15	16	16	21.5015	59.8993	54	0	15	0	15	0	14.7046	0	6.2498	0		1
34AR	0304	*	2010	9	15	16	16	21.5015	59.8993	54	0	20	0	20	0	13.3087	0	6.2468	0		1
34AR	0304	*	2010	9	15	16	16	21.5015	59.8993	54	0	30	0	30	0	9.4224	0	6.3231	0		1
34AR	0304	*	2010	9	15	16	16	21.5015	59.8993	54	0	40	0	40	0	8.4773	0	6.3806	0		1
34AR	0305	*	2010	9	16	9	0	21.5015	59.8993	55	0	1	0	1	0	15.0411	0	6.2203	0	5.68	0
34AR	0305	*	2010	9	16	9	0	21.5015	59.8993	55	0	5	0	5	0	15.0271	0	6.2208	0	5.69	0
34AR	0305	*	2010	9	16	9	0	21.5015	59.8993	55	0	10	0	10	0	15.0442	0	6.2203	0	5.68	0
34AR	0305	*	2010	9	16	9	0	21.5015	59.8993	55	0	15	0	15	0	14.9622	0	6.2237	0	5.68	0
34AR	0305	*	2010	9	16	9	0	21.5015	59.8993	55	0	20	0	20	0	14.9491	0	6.2245	0	5.65	0
34AR	0305	*	2010	9	16	9	0	21.5015	59.8993	55	0	30	0	30	0	10.1672	0	6.2914	0	4.62	0
34AR	0305	*	2010	9	16	9	0	21.5015	59.8993	55	0	40	0	40	0	8.0243	0	6.3768	0	4.56	0
34AR	0306	*	2010	9	16	14	54	21.5015	59.8993	54	0	3	0	3	0		1		1	5.54	0
34AR	0306	*	2010	9	16	14	54	21.5015	59.8993	54	0	5	0	5	0		1		1	5.39	0
34AR	0306	*	2010	9	16	14	54	21.5015	59.8993	54	0	10	0	10	0		1		1	5.50	0
34AR	0306	*	2010	9	16	14	54	21.5015	59.8993	54	0	15	0	15	0		1		1	5.55	0
34AR	0306	*	2010	9	16	14	54	21.5015	59.8993	54	0	20	0	20	0		1		1	5.56	0
34AR	0306	*	2010	9	16	14	54	21.5015	59.8993	54	0	30	0	30	0		1		1	4.75	0
34AR	0306	*	2010	9	16	14	54	21.5015	59.8993	54	0	40	0	40	0		1		1	4.47	0
34AR	0307	*	2010	9	17	6	48	21.4860	59.8933	78	0	1	0	1	0	14.7487	0	6.2309	0		1
34AR	0307	*	2010	9	17	6	48	21.4860	59.8933	78	0	5	0	5	0	14.7549	0	6.2334	0		1
34AR	0307	*	2010	9	17	6	48	21.4860	59.8933	78	0	10	0	10	0	14.7363	0	6.2424	0		1
34AR	0307	*	2010	9	17	6	48	21.4860	59.8933	78	0	15	0	15	0	14.6654	0	6.2708	0		1
34AR	0307	*	2010	9	17	6	48	21.4860	59.8933	78	0	20	0	20	0	14.5636	0	6.2881	0		1
34AR	0307	*	2010	9	17	6	48	21.4860	59.8933	78	0	30	0	30	0	9.6771	0	6.3163	0		1
34AR	0307	*	2010	9	17	6	48	21.4860	59.8933	78	0	40	0	40	0	8.4206	0	6.3853	0		1
34AR	0307	*	2010	9	17	6	48	21.4860	59.8933	78	0	50	0	50	0	7.6622	0	6.4321	0		1
34AR	0307	*	2010	9	17	6	48	21.4860	59.8933	78	0	59	0	60	0	6.9331	0	6.4765	0		1
34AR	0307	*	2010	9	17	6	48	21.4860	59.8933	78	0	69	0	70	0	6.644	0	6.5142	0		1
34AR	0308	*	2010	9	17	11	9	21.4860	59.8933	78	0	1	0	1	0	14.7658	0	6.2515	0	6.05	0
34AR	0308	*	2010	9	17	11	9	21.4860	59.8933	78	0	5	0	5	0	14.7665	0	6.251	0	6.05	0
34AR	0308	*	2010	9	17	11	9	21.4860	59.8933	78	0	10	0	10	0	14.7281	0	6.2581	0	6.01	0
34AR	0308	*	2010	9	17	11	9	21.4860	59.8933	78	0	15	0	15	0	14.6778	0	6.2686	0	6.00	0
34AR	0308	*	2010	9	17	11	9	21.4860	59.8933	78	0	20	0	20	0	14.6263	0	6.272	0	5.93	0
34AR	0308	*	2010	9	17	11	9	21.4860	59.8933	78	0	30	0	30	0	9.5805	0	6.316	0	4.74	0
34AR	0308	*	2010	9	17	11	9	21.4860	59.8933	78	0	40	0	40	0	8.665	0	6.3796	0	4.70	0
34AR	0308	*	2010	9	17	11	9	21.4860	59.8933	78	0	50	0	50	0	7.538	0	6.4397	0	4.78	0
34AR	0308	*	2010	9	17	11	9	21.4860	59.8933	78	0	59	0	60	0	6.8152	0	6.4892	0	4.81	0
34AR	0308	*	2010	9	17	11	9	21.4860	59.8933	78	0	69	0	70	0	6.6046	0	6.5216	0	4.73	0
34AR	0265	*	2011	8	23	17	32	21.1467	60.2333	48	0	1	0		1	18.8483	0	6.578	0	6.21	0
34AR	0265	*	2011	8	23	17	32	21.1467	60.2333	48	0	5	0		1	18.7361	0	6.5785	0	6.02	0
34AR	0265	*	2011	8	23	17	32	21.1467	60.2333	48	0	10	0		1	18.6838	0	6.5806	0	6.01	0
34AR	0265	*	2011	8	23	17	32	21.1467	60.2333	48	0	15	0		1	18.667	0	6.5811	0	5.97	0
34AR	0265	*	2011	8	23	17	32	21.1467	60.2333	48	0	20	0		1	17.6957	0	6.5611	0	4.35	0
34AR	0265	*	2011	8	23	17	32	21.1467	60.2333	48	0	30	0		1	9.0961	0	6.5348	0	4.77	0
34AR	0265	*	2011	8	23	17	32	21.1467	60.2333	48	0	40	0		1	7.9803	0	6.5759	0	4.61	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	1.0	0	1.0	0	5.8701	0	6.1041	0	9.71	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	2.0	0	2.0	0	5.8758	0	6.1027	0	9.71	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	3.0	0	3.0	0	5.8800	0	6.1020	0	9.71	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	4.0	0	4.0	0	5.8805	0	6.1023	0	9.71	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	5.0	0	5.0	0	5.8829	0	6.1030	0	9.72	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	5.9	0	6.0	0	5.8810	0	6.1022	0	9.70	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	6.9	0	7.0	0	5.8821	0	6.1027	0	9.69	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	7.9	0	8.0	0	5.8811	0	6.1035	0	9.68	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	8.9	0	9.0	0	5.8707	0	6.1072	0	9.66	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	9.9	0	10.0	0	5.8619	0	6.1087	0	9.66	0
34AR	0090	*	2012	5	10	4	3	21.7087	60.2140	37	0	10.9	0	11.0	0	5.8303	0	6.1104	0	9.65	0
